"Negocio ID","Nombre del negocio","Tipo de mercado","Probabilidad de Cierre","Consumo mensual","Etapa del negocio","Propietario del negocio","Subautopista","Fecha de creación","Última actividad","Fecha de cierre","Tiempo en la etapa actual","Fecha de la siguiente actividad","Costo de adquisición","Costo de instalación total","Costo Equipos","Costo de los intereses","Costo total","Costo Total Equipos + Intereses","Inversión del cliente","Tiene renting","Costo mensual renting","Payback Limite","Payback","Actualizar payback","Negocio ID"
"47998629758","INCHCAPE COLOMBIA S.A.S.","Regulado","Medio","82845.5","Análisis comercial (Sales MR)","Andrés Toro García","KAM","2024-12-23 00:00","2026-05-26 19:00","2026-05-15 07:49","2777:52:32","(Sin valor)","9527060","33100680","22809093.1008825","7130198.65252867","42627740","25776115.63089863","30570867.87272162","No","538773.77109","12","21.6965753","(Sin valor)","47998629758"
"48025598989","CCNP","No regulado","Bajo","(Sin valor)","Carta de intención (Sales MNR)","María Paula Pico Loaiza","Awareness","2025-10-22 00:00","2026-03-04 09:14","2026-06-23 18:03","2133:34:13","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","Sí","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48025598989"
"48042411641","Grupo Faranda MNR","No regulado","Medio","(Sin valor)","Reunión efectiva (Sales MNR)","María Paula Pico Loaiza","Partnerships","2025-08-27 00:00","2026-04-20 09:13","2026-05-31 23:22","2950:25:27","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","0","Sí","(Sin valor)","(Sin valor)","5","(Sin valor)","48042411641"
"48078860389","AEROCIVIL AERONÁUTICA CIVIL","Regulado","Bajo","490380","Reunión agendada (Sales MR)","Alexandra Murillo Fagua","Referido interno","2025-06-18 00:00","2026-05-15 08:22","2026-06-30 08:16","4350:14:09","(Sin valor)","56392895","100404541","266790925","(Sin valor)","156797436.5","(Sin valor)","0","No","7708923.116","(Sin valor)","6.36172979","(Sin valor)","48078860389"
"48084356235","Radio Television Nacional De Colombia RTVC SAS","Regulado","Bajo","1550750.5","Análisis comercial (Sales MR)","María Paula Pico Loaiza","Referido interno","2025-10-08 00:00","2026-05-11 17:00","2026-05-31 19:10","5033:58:01","2026-06-01 08:00","178333375","227440943.01","364808322.35732824","(Sin valor)","405774318.01","(Sin valor)","0","Sí","10541136.47451501","6","5.1814746","(Sin valor)","48084356235"
"48104364810","SUSERCOL S.A.S.","No regulado","Bajo","(Sin valor)","Reunión efectiva (Sales MNR)","Alexandra Murillo Fagua","Partnerships","2025-10-20 00:00","2026-05-31 08:00","2026-07-31 09:59","2950:25:27","2026-06-04 08:00","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","Sí","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48104364810"
"48111783962","CORPORACION CLUB LAGOS DE CAUJARAL","No regulado","Medio","(Sin valor)","Carta de intención (Sales MNR)","Alexandra Murillo Fagua","Partnerships","2025-10-23 00:00","2026-05-05 11:00","2026-05-31 11:55","629:01:38","2026-06-03 18:00","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","Sí","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48111783962"
"48111783963","Distracom","Regulado","Bajo","1852894.5","Reunión agendada (Sales MR)","Sebastian Mazorra Gomez","Bia Network","2025-08-03 00:00","2026-05-28 09:00","2026-06-30 19:13","4321:00:36","(Sin valor)","22374515","48653877","202656293.77124068","(Sin valor)","73716598.89","151542375.92696315","0","Sí","2688206.469","(Sin valor)","(Sin valor)","(Sin valor)","48111783963"
"48111803983","Blue Mobility SAS","Regulado","Bajo","30210","Análisis comercial (Sales MR)","Daniela Dueñas Camacho","Referrals","2025-09-15 00:00","2026-05-28 17:00","2026-06-30 17:09","5033:58:01","2026-06-02 17:00","3474150","7740000","19934356.53850147","4556512.84111438","11214150","16472079.89423776","0","Sí","344300.31","12","9.74763235","(Sin valor)","48111803983"
"48111963254","Pepsi Co Alimentos Colombia Ltda CEDI Bucaramanga","Regulado","Bajo","9774.5","Documentos para firma (Sales MR)","Daniela Dueñas Camacho","Bia Network","2025-05-22 00:00","2026-05-29 18:06","2026-06-30 17:09","5033:58:01","2026-06-01 17:00","1124010","4534619","1697265.51410279","649034.33259291","5658629","2346299.84669569","2714122.69382965","Sí","49042.48703","6","11.53054892","(Sin valor)","48111963254"
